Card Concept,Card Element/Type/Slot,Name,Supertype,Type,Subtype,Element,Cost,Dedication,Text,Strength,Defense,Mana,Territory Defense,Flavor Text,Element ID,Card Number,Rarity,Deckbuilding Points 185,@dedication_image,@rarity_icon,@frame,Card ID,Art ID,@card_image,Set,Subset,@set_symbol,Copyright Text,Landscape Name,Supertype,Type,Subtype,Landscape Text,Landscape Flavor Text,@Landscape_Dedication,Landscape Mana,Landscape Defense,@rarity_icon_landscape,@image_landscape,Landscape Copyright Text,Ben's Rating,Dan's Rating
"Move a unit you control that was about to be destroyed to a desert you control instead.7/3/17: Changed to Cloudtop Elemental",Rare Air Unit,Cloudtop Elemental,,Unit,Elemental,Air,4,2,%Flying%ßßCloudtop Elemental can't be attacked by units without Flying or Ranged.,4,2,,,,A,48,Rare,2,dedication_Air_2.png,Rare.png,frame_Unit_Air.psd,A048,moon2,prime-moon2-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A048",,,,,,,,,,,,,0,0
"When this unit dies, put it and a unit who killed it on the bottom of their owners' decks.",Rare Air Unit,Sandtrap Wyrm,,Unit,Wyrm,Air,4,1,"When Sandtrap Wyrm dies in a battle, if it was defeated on an Air territory, put Sandtrap Wyrm and the unit that killed it on the bottom of their owner's decks instead of in the discard.",5,3,,,"ßß^Two basic survival rules of the Zederi wastes: Always follow the trails, and beware if the trail suddenly ends.^",A,49,Rare,2,dedication_Air_1.png,Rare.png,frame_Unit_Air.psd,A049,6,006-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A049",,,,,,,,,,,,,0,0
Dragon with flying that can push units around the battlefield.,Rare Air Unit,"Stormwing, Mother of Tempests",Legendary,Unit,Wyvern,Air,5,2,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßß%Dodge% ^(Whenever this unit makes a defense roll, if there are any doubles in the roll, double the result.)^ßßWhen you summon Stormwing, Mother of Tempests, you may move another target unit one space.",5,4,,,,A,50,Rare,2,dedication_Air_2.png,Rare.png,frame_Unit_Air.psd,A050,dragon,prime-dragon-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A050",,,,,,,,,,,,,0,0
"Gust elemental - whenever a player attacks a unit you control, it must pay 1 resource.",Rare Air Unit,Living Storm,,Unit,Elemental,Air,6,1,Units you control cannot be attacked unless an opponent pays {1} for each attack.ßßUnits you don't control cannot march unless an opponent pays {1} for each march.,3,3,,,,A,51,Rare,2,dedication_Air_1.png,Rare.png,frame_Unit_Air.psd,A051,53,053-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A051",,,,,,,,,,,,,0,0
"unit advancing on a desert gains %Strength -2%7/3/17: Changed to Minor Illusion (was Swift Parry)",Common Air Spell,Minor Illusion,Tactical,Spell,Illusion,Air,1,1,Ready or deplete target unit or relic.,,,,,,A,52,Common,0,dedication_Air_1.png,Common.png,frame_tactical_Spell_Air.psd,A052,bolt,prime-bolt-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A052",,,,,,,,,,,,,0,0
Return a unit to its owner's hand.,Common Air Tactic,Blown Away,Tactical,Spell,Negation,Air,2,1,"Return target non-territory object to its owner's hand. ^(An object is any card that stays on the battlefield after it has been played, such as a unit, relic or territory.)^",,,,,,A,53,Common,0,dedication_Air_1.png,Common.png,frame_tactical_Spell_Air.psd,A053,28,028-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A053",,,,,,,,,,,,,0,0
Counter target spell or action.,Common Air Spell,Interrupt,Tactical,Spell,Negation,Air,3,2,"Counter target player's order. ^(Each time a player plays a non-territory card, it is considered an order until it resolves. You may respond and counter that order with this card.)^",,,,,ßß^A word of pardon whispered on the western wind... a lifetime of study rendered useless...^,A,54,Common,0,dedication_Air_2.png,Common.png,frame_tactical_Spell_Air.psd,A054,13,013-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A054",,,,,,,,,,,,,0,0
Move target unit,Common Air Spell,Sandshift,Tactical,Spell,Illusion,Air,3,1,Move target unit one space. ^(This spell can cause a unit to move into or out of a space it could not normally be able to go.)^,,,,,ßß^An army should be as difficult to locate as a dune is to name.^,A,55,Common,0,dedication_Air_1.png,Common.png,frame_tactical_Spell_Air.psd,A055,11,011-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A055",,,,,,,,,,,,,,
Lightning bolt for air,Uncommon Air Spell,Lightning Bolt,Tactical,Spell,Conjuration,Air,1,1,"Lightning Bolt deals 12 damage to target unit. ^(That unit makes a defense roll. If the result is less than 12, this spell kills it.)^",,,,,"ßß^""Say what you will about the mages, but I have seen which is faster: lightning beats the arrow every time.""ß— Yaffa, Halian Conscript^",A,56,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_tactical_Spell_Air.psd,A056,32,032-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A056",,,,,,,,,,,,,4,4
"roll 1{d6}. On a 6 or greater, destroy target unit. Add 1 to your roll for each desert you control",Uncommon Air Spell,Critical Shot,Tactical,Spell,Illusion,Air,2,1,"^Before Defense Roll Only^ — Choose one of the dice in your attack roll. Treat your attack total as though all of the dice you rolled have that result. ^(For instance, if a 2, 4 and 6 are rolled, you may treat the roll as though only 2's or 4's or 6's were rolled.)^",,,,,"ßß^""My friend! The difference between luck and skill is if you have luck, you don't need skill!""ß— Maleek, Potion Trader^",A,57,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_tactical_Spell_Air.psd,A057,kill,prime-kill-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A057",,,,,,,,,,,,,0,0
"Units starting their turn here have flying until the end of the turn7/3/17: Changed to Aetherstorm (Strategy)",Uncommon Air Territory,Aetherstorm,,Strategy,Denial,Air,3,1,"Whenever a player summons a unit, that player sacrifices that unit unless they pay {1}.",,,,,,A,58,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_Strategy_Air.psd,A058,explosion,prime-explosion-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A058",,,,,,,,,,,desert_air.jpg,,0,0
"Adds 7 to an attack or defense roll7/3/17: Added ""Draw a card.""",Uncommon Air Spell,Chronomatic Distortion,Tactical,Spell,Alteration,Air,3,1,Add 7 to the next attack or defense roll you make this turn. Draw a card.,,,,,"ßß^""The effect is that of time itself slowing, so that you can anticipate a speeding arrow as though you had an hour to decide what to do about it.""ß— S'vessh, Illusion Mage",A,59,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_tactical_Spell_Air.psd,A059,19,019-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A059",,,,,,,,,,,,,0,0
"Counter target spell unless a player pays X mana or banishes the top X cards of their deck.7/3/17: Changed to Confound (counter target order unless its controller pays {3}.",Uncommon Air Spell,Confounding Word,Tactical,Spell,Negation,Air,2,2,"Counter target player's order unless its caster pays {3}. ^(Each time a player plays a non-territory card, it is considered an order until it resolves. You may respond and counter that order with this card.)^",,,,,"ßß^""The wind tore through our camp, ripping pages from our eldest tomes but disturbed not a single shield or sword.""ß— Aldrin, Journeyman Mage^",A,60,Uncommon,1,dedication_Air_2.png,Uncommon.png,frame_tactical_Spell_Air.psd,A060,9,009-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A060",,,,,,,,,,,,,0,0
Target unit's next ranged attack suffers no ranged penalty.,Uncommon Air Spell,Uplift,Strategic,Spell,Enchantment,Air,5,1,Units you control gain %Flying% and %March +1% until the end of the turn ^(those units may march into and out of spaces occupied by enemy units)^.,,,,,,A,61,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_Spell_Air.psd,A061,flying,prime-flying-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A061",,,,,,,,,,,,,0,0
"look at the top 2 cards of your deck and draw one, put the other on the bottom of your deck",Rare Air Spell,Sift Through Time,Tactical,Spell,Divination,Air,2,1,"Look at the top three cards of your deck. Draw one of those cards, then put the rest on the bottom of your deck in any order.",,,,,"ßß^""Every decision you make is a choice between a hundred different futures. The Oracle's wisdom simply shows you what those futures would be..""ß— Yellowtooth, Scaleskin Rebel^",A,62,Rare,2,dedication_Air_1.png,Rare.png,frame_tactical_Spell_Air.psd,A062,16,016-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A062",,,,,,,,,,,,,0,0
"Choose one or both - discard your hand and draw that many cards, or your opponents do that.",Rare Air Spell,Forced Enlightenment,Strategic,Spell,Divination,Air,3,1,"When you cast Forced Enlightenment, choose one or both:ßßDiscard your hand and draw that many cards; or, each opponent discards their hand and draws that many cards.",,,,,"ßß^“Zederi is one of the only places I know of where an honest exchange of ideas is a genuine threat.”— Tek'Talor, Capra Sage^",A,63,Rare,2,dedication_Air_1.png,Rare.png,frame_Spell_Air.psd,A063,27,027-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A063",,,,,,,,,,,,,,
Deflect an action from one unit to any adjacent unit.,Rare Air Spell,Rapid Deflection,Tactical,Spell,Negation,Air,3,1,"Change the target of an ordered spell to a target of your choice. ^(Each time a player plays a non-territory card, it is considered an order until it resolves. You may respond and change the target of a spell card with this. The new target must be a legal target.)^",,,,,,A,64,Rare,2,dedication_Air_1.png,Rare.png,frame_tactical_Spell_Air.psd,A064,13,013-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A064",,,,,,,,,,,,,0,0
Lightning Storm,Rare Air Spell,Lightning Storm,Strategic,Spell,Conjuration,Air,6,2,"Lightning Storm deals 21 damage to each unit in up to 2 adjacent spaces. ^(Each unit in those spaces makes a defense roll. If the result of a defense roll is less than 21, this spell kills that unit.)^",,,,,"ßß^Trumpets sounded as the riders charged in from the west. Then, there was a flash, and the battle was over.^",A,65,Rare,2,dedication_Air_2.png,Rare.png,frame_Spell_Air.psd,A065,lightning,prime-lightning-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A065",,,,,,,,,,,,,4,4
"Gives your units flying and March +1 if you control 5 deserts7/3/17: Changed to Zederi Sandstorm (Strategy)",Rare Air Strategy,Zederi Sandstorm,,Strategy,Sorcery,Air,6,2,"At the beginning of each player's turn, that player returns a non-territory object they control to its owner's hand, then discards a card.",,,,,,A,66,Rare,2,dedication_Air_2.png,Rare.png,frame_Strategy_Air.psd,A066,divination2,prime-divination2-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A066",,,,,,,,,,,desert_air.jpg,,0,0
Desert,Common Air Territory,Desert,Basic,Territory,Desert,Air,,1,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,,~1,2,,A,67,Common,0,dedication_Air_1.png,Common.png,frame_Territory_Air.psd,A067,43,043-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A067",Desert,Basic,Territory,Desert,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,dedication_Air_1.png,~1,2,Common.png,desert_air.jpg,© 2014 Oddball Laboratories. All Rights Reserved. Prime - A76,0,0
Desert,Common Air Territory,Desert,Basic,Territory,Desert,Air,,1,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,,~1,2,,A,68,Common,0,dedication_Air_1.png,Common.png,frame_Territory_Air.psd,A068,desert,prime-desert-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A068",Desert,Basic,Territory,Desert,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,dedication_Air_1.png,~1,2,Common.png,desert_air.jpg,© 2014 Oddball Laboratories. All Rights Reserved. Prime - A76,0,0
Desert,Common Air Territory,Desert,Basic,Territory,Desert,Air,,1,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,,~1,2,,A,69,Common,0,dedication_Air_1.png,Common.png,frame_Territory_Air.psd,A069,desert2,prime-desert2-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A069",Desert,Basic,Territory,Desert,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,dedication_Air_1.png,~1,2,Common.png,desert_air.jpg,© 2014 Oddball Laboratories. All Rights Reserved. Prime - A76,0,0
Desert,Common Air Territory,Desert,Basic,Territory,Desert,Air,,1,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,,~1,2,,A,70,Common,0,dedication_Air_1.png,Common.png,frame_Territory_Air.psd,A070,desert3,prime-desert3-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A070",Desert,Basic,Territory,Desert,"^Desert adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Air.^",,dedication_Air_1.png,~1,2,Common.png,desert_air.jpg,© 2014 Oddball Laboratories. All Rights Reserved. Prime - A76,0,0
French vanilla small (Aggressive - can move the turn it comes into play),Common Fire Unit,Screeching Outriders,,Unit,Human Barbarian,Fire,1,1,"%Aggressive% ^(This unit may march, charge or attack the turn you summon it.)^",1,1,,,"ßß^The outriders’ cry can be heard from miles away, a harbinger of the coming war.^",F,71,Common,0,dedication_Fire_1.png,Common.png,frame_Unit_Fire.psd,F071,14,014-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F071",,,,,,,,,,,,,0,0
Unit with firebreathing,Common Fire Unit,Firefling Salamander,,Unit,Lizard,Fire,1,1,"When you summon Firefling Salamander, you may have it deal 1{d6} damage to target enemy unit.",1,2,,,"ßß^The indigenous tribes of the Dhu-Son steppes hunt the wild salamander to make armor and saddles from its tough, fireproof hide, and train it for its prowess in battle.^",F,72,Common,0,dedication_Fire_1.png,Common.png,frame_Unit_Fire.psd,F072,11,011-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F072",,,,,,,,,,,,,0,0
Unit that dissipates when close to flyers,Common Fire Unit,Ashen Stalker,,Unit,Elemental,Fire,2,1,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units. Whenever an attack or damage roll is made against a unit with 0 Defense, it is killed immediately.)^",4,0,,,ßß^Death born in the heat of battle.^,F,73,Common,0,dedication_Fire_1.png,Common.png,frame_Unit_Fire.psd,F073,53,053-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F073",,,,,,,,,,,,,0,0
"When this unit kills another unit, it may move again.",Common Fire Unit,Cutthroat Ravager,,Unit,Human Warrior,Fire,2,2,"%Rampage% ^(The first time this unit wins an attack roll against another unit this turn, it may charge or attack again.)^",2,2,,,,F,74,Common,0,dedication_Fire_2.png,Common.png,frame_Unit_Fire.psd,F074,39,039-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F074",,,,,,,,,,,,,0,0
"When this unit comes into play, destroy a relic.",Common Fire Unit,Skarsdan Looter,,Unit,Ogre Barbarian,Fire,3,1,"When you summon Skarsdan Looter, target player sacrifices a relic or strategy.",2,2,,,,F,75,Common,0,dedication_Fire_1.png,Common.png,frame_Unit_Fire.psd,F075,ogre,prime-ogre-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F075",,,,,,,,,,,,,0,0
"When this unit dies, it destroys the territory it is on if it's not a wasteland.",Common Fire Unit,Fallowbreath Rider,,Unit,Human Warrior,Fire,4,1,,3,4,,,ßß^Flamehands who show a talent for riding the fallowbreath horses often make their mark in the mounted forces.^,F,76,Common,0,dedication_Fire_1.png,Common.png,frame_Unit_Fire.psd,F076,charge,prime-charge-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F076",,,,,,,,,,,,,0,0
"Unit gets some bonus until the end of the turn, then sacrifice it.",Common Fire Unit,Flamehand Renegade,,Unit,Human Soldier,Fire,4,2,"Pay {2}: Flamehand Renegade gets +2/+2 and %Rampage%. Sacrifice it at the end of the turn. Play this ability only once per turn. ^(The first time a unit with Rampage defeats any enemy unit in battle this turn, it may charge or attack again.)^",3,3,,,"ßß^Some initiates never make it to full apprentice status, but every initiate's name is enscribed in the book of glory.^",F,77,Common,0,dedication_Fire_2.png,Common.png,frame_Unit_Fire.psd,F077,30,030-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F077",,,,,,,,,,,,,,
"Rabble Rouser - when this unit enters play, it causes two other units to fight.",Uncommon Fire Unit,Rabble Rouser,,Unit,Human Warrior,Fire,3,1,"When you summon Rabble Rouser, choose a unit. That unit deals X{d6} damage to another adjacent unit, where X is its Strength. ^(The unit receiving damage makes a defense roll. This damage is not considered an attack.)^",2,2,,,"ßß^In the leadup to the war, fights broke out at the drop of a hat.^",F,78,Uncommon,1,dedication_Fire_1.png,Uncommon.png,frame_Unit_Fire.psd,F078,16,016-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F078",,,,,,,,,,,,,,
"Lava elemental - When this unit dies, you may put a pool of lava into play where it died  (destroying the territory that was there if any).",Uncommon Fire Unit,Lava Elemental,,Unit,Elemental,Fire,4,2,"When Lava Elemental is defeated in a battle, you may put a card named Wasteland from your hand into the space it was defeated. ^(Any time there are two territories in a space with different controllers, destroy the one that was there before. This does not conquer the destroyed territory.)^",4,3,,,"ßß^""This land is ours now.""ß— Quyen, Karthan Flamehand^",F,79,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Unit_Fire.psd,F079,6,006-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F079",,,,,,,,,,,,,0,0
"high attack, low defense unit with overkill (if it kills a unit, it may attack a second).",Uncommon Fire Unit,Raging Cyclops,,Unit,Giant Warrior,Fire,5,2,"%Rampage% ^(The first time this unit wins an attack roll against another unit this turn, it may charge or attack again.)^ßßRaging Cyclops must march, charge or attack each turn if able.",4,3,,,"ßß^""I wonder, if they had two eyes could they kill four men in a single stroke?""ß— Averett, Farmhand^",F,80,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Unit_Fire.psd,F080,giant,prime-giant-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F080",,,,,,,,,,,,,0,0
phoenix,Uncommon Fire Unit,Karthan Phoenix,,Unit,Phoenix,Fire,5,2,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßß^Strategy Phase Only^ — Pay {8}, discard a Fire spell card: Summon Karthan Phoenix from your discard to an unconquered Fire territory you control. Karthan Phoenix gains %Aggressive% until the end of the turn.",3,3,,,"ßß^The beginning of Summer in Kartha is marked by the return of the phoenix, in a holy day known as the Karthan Sunrise.^",F,81,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Unit_Fire.psd,F081,12,012-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F081",,,,,,,,,,,,,,
"Each time you would draw a card, you may banish that card to put a +1/+1 counter on this.",Uncommon Fire Unit,Liege of Embers,,Unit,Ogre Warrior,Fire,5,2,"Whenever you draw a card, banish that card instead. If you do, put a +1/+1 counter on each unit you control named Liege of Embers on the battlefield.",5,3,,,ßß^Knowledge and growth can wait for war.^,F,82,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Unit_Fire.psd,F082,conqueror,prime-conqueror-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F082",,,,,,,,,,,,,,
Greater lava elemental - can be played to a pool of lava  by sacrificing it.,Rare Fire Unit,Magma Serpent,,Unit,Elemental,Fire,X+1,1,"When you summon Magma Serpent from your hand, it enters the battlefield with X +1/+1 counters on it.ßß^Strategy Phase Only^ — Pay {X}{X}, sacrifice a Wasteland: Summon Magma Serpent from your discard with to the space where you sacrificed a Wasteland with X +1/+1 counters on it. ^(You must pay X twice. For instance, if you pay 6, X is 3.)^",0,0,,,,F,83,Rare,2,dedication_Fire_1.png,Rare.png,frame_Unit_Fire.psd,F083,6,006-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F083",,,,,,,,,,,,,0,0
Return a spell from your discard to your hand when this comes into play.,Rare Fire Unit,Rekindler Mage,,Unit,Scaleskin Mage,Fire,2,1,"When you summon Rekindler Mage, you may pay {X}. If you do, return target spell card with mana cost X from your discard to your hand.",3,1,,,ßß^Some people just can't let the argument go.^,F,84,Rare,2,dedication_Fire_1.png,Rare.png,frame_Unit_Fire.psd,F084,24,024-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F084",,,,,,,,,,,,,,
Rampage enabler,Rare Fire Unit,Master of Chains,,Unit,Human Barbarian,Fire,5,2,"%Aggressive% ^(This unit may march, charge or attack the turn you summon it.)^ßßWhen you summon Master of Chains, units you control gain %Rampage% until the end of the turn. ^(The first time a unit with Rampage wins an attack roll against another unit this turn, it may charge or attack again.)^",4,1,,,,F,85,Rare,2,dedication_Fire_2.png,Rare.png,frame_Unit_Fire.psd,F085,7,007-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F085",,,,,,,,,,,,,0,0
"When this unit comes into play, gain 8 mana and 3 dedication to Fire until the end of the turn.",Rare Fire Unit,Aranon's Champion,,Unit,Ogre Warrior,Fire,6,2,"When you summon Aranon's Champion, it adds {8} to your mana supply.",3,4,,,"ßß^The champion struck the ground, igniting it immediately. The horde approved.^",F,86,Rare,2,dedication_Fire_2.png,Rare.png,frame_Unit_Fire.psd,F086,champion,prime-champion-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F086",,,,,,,,,,,,,0,0
Dragon with protection from water and air,Rare Fire Unit,"Flameclaw, Scourge of Kartha",Legendary,Unit,Dragon,Fire,6,2,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßß%Aggressive% ^(This unit may march, charge or attack the turn you summon it.)^ßß^Strategy Phase Only^ — Pay {3}: Flameclaw, Scourge of Kartha deals X{d6} damage to target adjacent unit, where X is equal to the number of enemy territories that you have conquered.",6,5,,,,F,87,Rare,2,dedication_Fire_2.png,Rare.png,frame_Unit_Fire.psd,F087,dragon2,prime-dragon2-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F087",,,,,,,,,,,,,0,0
Fireball - x{d6} damage to target unit.,Common Fire Tactic,Fireball,Strategic,Spell,Destruction,Fire,X+1,1,"Fireball deals X{d6} plus an additional 5 damage to target unit.^(Do a damage roll with X dice and add 5 to the result. That unit makes a defense roll. If the result is less than the damage this spell deals, this spell kills that unit.)^",,,,,"ßß^""Why reinvent the torch?""ß— Bhu, Ogre General^",F,88,Common,0,dedication_Fire_1.png,Common.png,frame_Spell_Fire.psd,F088,32,032-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F088",,,,,,,,,,,,,0,0
"Discard 2 cards, then draw 2 cards.7/3/17: Changed to Rampant Destruction (Strategy)",Common Fire Strategy,Rampant Destruction,,Strategy,Denial,Fire,1,1,^Beginning of Your Turn Only^ — Deplete a unit you control: Target player puts the top 2 cards of their deck into their discard.,,,,,"ßß^As the horde came within sight of the undefended walls, they immediately smashed their possessions and killed their slaves, roaring in anticipation of their new spoils.^",F,89,Common,0,dedication_Fire_1.png,Common.png,frame_Strategy_Fire.psd,F089,merchant,prime-merchant-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F089",,,,,,,,,,,,,0,0
Lightning Bolt - Deals 2{d6} damage to a single target,Common Fire Spell,Ogre's Fury,Tactical,Spell,Alteration,Fire,3,1,^Beginning of Battle Only^ — Target unit gains %Strength +4% until the end of the battle.,,,,,"ßß^""I don’t mean to second-guess Your Grace, but I have seen one ogre do what a hundred elves could not.""ß— Letter from Shalini Bes to Queen-Regent Anabel^",F,90,Common,0,dedication_Fire_1.png,Common.png,frame_tactical_Spell_Fire.psd,F090,topple,prime-topple-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F090",,,,,,,,,,,,,0,0
"Costs 1 less if summoned at a Wasteland7/3/17: Changed to Thunderhorse Charge",Common Fire Spell,Thunderhorse Charge,Tactical,Spell,Conjuration,Fire,5,2,"Thunderhorse Charge deals 4{d6} damage to target unit. Draw a card. ^(That unit makes a defense roll. If the result is less than the damage this spell deals, this spell kills that unit.)^",,,,,"^""What good is a horse that can't be ridden? Let's show the Merenthians!""ß— Bhu, Ogre General^",F,91,Common,0,dedication_Fire_2.png,Common.png,frame_tactical_Spell_Fire.psd,F091,rider1,prime-rider1-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F091",,,,,,,,,,,,,0,0
sacrifice a fire unit to destroy the territory it is on.,Uncommon Fire Spell,Mana Flare,Strategic,Spell,Conjuration,Fire,2,2,Add 1{d6} mana to your mana supply.,,,,,,F,92,Uncommon,1,dedication_Fire_2.png,Uncommon.png,frame_Spell_Fire.psd,F092,7,007-Prime-Fire.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F092",,,,,,,,,,,,,0,0
"Pool of Lava - gives a resource but no units may enter the area without making a defense check.7/3/17: Changed to Constant Pressure (Strategy)",Uncommon Fire Territory,Constant Pressure,,Strategy,Warfare,Fire,4,1,"At the end of your opponent's turn, if that player did not summon any units this turn, reduce the result of any defense rolls that player makes by 3 until the end of your next turn.",,,,,,F,93,Uncommon,1,dedication_Fire_1.png,Uncommon.png,frame_Strategy_Fire.psd,F093,warrior2,prime-warrior2-Fire.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - F093",,,,,,,,,,,wasteland_fire.jpg,,0,0
